"","data.pct_covid","data.covid_se","data.pct_covid_unw","data.covid_se_unw","data.sample_size","data.country","data.region","data.iso_code","data.gid_0","data.gid_1","data.survey_date","status"
"166",0.002875,0.001666,0.003841,0.002213,781,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20201013","success"
"167",0.005267,0.002877,0.007321,0.003262,683,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20201014","success"
"168",0.010747,0.00562,0.007364,0.003281,679,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20201015","success"
"169",0.011688,0.004283,0.013817,0.004851,579,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20201016","success"
"170",0.011191,0.004703,0.011864,0.004458,590,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20201017","success"
"171",0.008975,0.003976,0.010327,0.004194,581,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20201018","success"
"172",0.004636,0.002376,0.005997,0.002989,667,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20201019","success"
"173",0.004498,0.002623,0.004724,0.002721,635,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20201020","success"
"174",0.009673,0.004394,0.00939,0.003815,639,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20201021","success"
"175",0.020085,0.007977,0.014109,0.004953,567,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20201022","success"
"176",0.012708,0.005097,0.012727,0.00478,550,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20201023","success"
"177",0.007218,0.003626,0.007663,0.003817,522,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20201024","success"
"178",0.014358,0.007002,0.010118,0.00411,593,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20201025","success"
"179",0.003594,0.00359,0.003597,0.003591,278,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20201026","success"
"180",0.007074,0.002916,0.01178,0.003904,764,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20201027","success"
"181",0.008852,0.004014,0.008403,0.003416,714,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20201028","success"
"182",0.007662,0.004173,0.00703,0.003503,569,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20201029","success"
"183",0.006375,0.003108,0.008897,0.003961,562,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20201030","success"
